
 shoma2006,     ukraine,        <Channel name: shadowkekw>,       2024-11-07 10:09:12.152363 
 shoma2006,     su,        <Channel name: shadowkekw>,       2024-11-07 10:45:07.476671 

 shoma2006,     za,        <Channel name: shadowkekw>,       2024-11-07 10:47:03.833655 

 shoma2006,     it,        <Channel name: shadowkekw>,       2024-11-07 10:47:21.008873 

 shoma2006,     om,        <Channel name: shadowkekw>,       2024-11-07 10:47:39.219003 

 shoma2006,     peru,        <Channel name: shadowkekw>,       2024-11-07 10:49:58.174581 

 shoma2006,     cz,        <Channel name: shadowkekw>,       2024-11-07 10:50:49.766062 

 shoma2006,     peru,        <Channel name: shadowkekw>,       2024-11-07 10:51:24.665545 

 shoma2006,     cocu,        <Channel name: shadowkekw>,       2024-11-07 10:52:08.848582 

 shoma2006,     co,        <Channel name: shadowkekw>,       2024-11-07 10:53:08.335766 

 shoma2006,     gh,        <Channel name: shadowkekw>,       2024-11-07 10:53:42.899176 

 shoma2006,     es,        <Channel name: shadowkekw>,       2024-11-07 10:55:04.959448 

 shoma2006,     za,        <Channel name: shadowkekw>,       2024-11-07 10:55:21.289739 

 shoma2006,     za,        <Channel name: shadowkekw>,       2024-11-07 10:56:43.429491 

 shoma2006,     do,        <Channel name: shadowkekw>,       2024-11-07 10:57:30.960178 

 shoma2006,     dm,        <Channel name: shadowkekw>,       2024-11-07 10:58:41.950837 

 shoma2006,     om,        <Channel name: shadowkekw>,       2024-11-07 11:04:57.339941 

 shoma2006,     do,        <Channel name: shadowkekw>,       2024-11-07 11:05:08.372204 

 shoma2006,     za,        <Channel name: shadowkekw>,       2024-11-07 11:05:24.872442 

 shoma2006,     sw,        <Channel name: shadowkekw>,       2024-11-07 11:05:31.602969 

 shoma2006,     es,        <Channel name: shadowkekw>,       2024-11-07 11:05:48.088612 

 shoma2006,     co,        <Channel name: shadowkekw>,       2024-11-07 11:06:00.654681 

 shoma2006,     ke,        <Channel name: shadowkekw>,       2024-11-07 11:06:12.844528 

 shoma2006,     za,        <Channel name: shadowkekw>,       2024-11-07 11:06:53.806404 

 shoma2006,     sw,        <Channel name: shadowkekw>,       2024-11-07 11:07:26.640476 

 shoma2006,     br,        <Channel name: shadowkekw>,       2024-11-07 11:07:43.972197 

 shoma2006,     co,        <Channel name: shadowkekw>,       2024-11-07 11:08:12.636133 

 shoma2006,     do,        <Channel name: shadowkekw>,       2024-11-07 11:08:16.555541 

 shoma2006,     tw,        <Channel name: shadowkekw>,       2024-11-07 11:08:49.205347 

 shoma2006,     za,        <Channel name: shadowkekw>,       2024-11-07 11:08:53.731876 

 shoma2006,     br,        <Channel name: shadowkekw>,       2024-11-07 11:09:18.898514 

 shoma2006,     tunis,        <Channel name: shadowkekw>,       2024-11-07 11:09:44.272825 

 shoma2006,     th,        <Channel name: shadowkekw>,       2024-11-07 11:10:04.764506 

 shoma2006,     za,        <Channel name: shadowkekw>,       2024-11-07 11:10:12.685317 

 shoma2006,     as,        <Channel name: shadowkekw>,       2024-11-07 11:11:07.452964 

 shoma2006,     au,        <Channel name: shadowkekw>,       2024-11-07 11:11:11.935008 

 shoma2006,     fr,        <Channel name: shadowkekw>,       2024-11-07 11:11:23.125929 

 shoma2006,     cz,        <Channel name: shadowkekw>,       2024-11-07 11:11:49.588317 

 shoma2006,     co,        <Channel name: shadowkekw>,       2024-11-07 11:11:53.890500 

 shoma2006,     ke,        <Channel name: shadowkekw>,       2024-11-07 11:11:57.799070 

 shoma2006,     us,        <Channel name: shadowkekw>,       2024-11-07 11:12:14.006229 

 shoma2006,     es,        <Channel name: shadowkekw>,       2024-11-07 11:12:47.496409 

 shoma2006,     th,        <Channel name: shadowkekw>,       2024-11-07 11:13:16.932736 

 shoma2006,     sw,        <Channel name: shadowkekw>,       2024-11-07 11:14:19.873440 

 shoma2006,     clap,        <Channel name: shadowkekw>,       2024-11-07 11:21:42.265209 

 shoma2006,     vo,        <Channel name: shadowkekw>,       2024-11-07 11:21:48.669374 

 shoma2006,     WW,        <Channel name: shadowkekw>,       2024-11-07 11:22:03.573304 

 shoma2006,     ((,        <Channel name: shadowkekw>,       2024-11-07 11:22:36.378619 

 shoma2006,     -rep )),        <Channel name: shadowkekw>,       2024-11-07 11:23:06.185382 

 shoma2006,     Loodomanych,        <Channel name: shadowkekw>,       2024-11-07 11:24:31.340091 

 shoma2006,     Loodomanych,        <Channel name: shadowkekw>,       2024-11-07 11:24:59.864534 

 shoma2006,     )),        <Channel name: shadowkekw>,       2024-11-07 11:27:26.935845 

 shoma2006,     and,        <Channel name: shadowkekw>,       2024-11-07 11:49:21.531564 

 shoma2006,     ((,        <Channel name: shadowkekw>,       2024-11-07 12:00:46.818626 

 shoma2006,     genbycrbt,        <Channel name: shadowkekw>,       2024-11-07 12:21:25.802047 

 shoma2006,     BB,        <Channel name: shadowkekw>,       2024-11-07 12:52:22.015577 
