
 suawtw,     yes,        <Channel name: kaicenat>,       2024-11-07 01:19:14.886811 
 suawtw,     mmmmmmmm,        <Channel name: kaicenat>,       2024-11-07 02:22:37.518232 

 suawtw,     MMMMMMMMM,        <Channel name: kaicenat>,       2024-11-07 02:22:46.039436 

 suawtw,     na facts,        <Channel name: kaicenat>,       2024-11-07 02:23:05.159112 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:23:56.688545 

 suawtw,     not dirty enough,        <Channel name: kaicenat>,       2024-11-07 02:24:29.282730 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:25:12.090488 

 suawtw,     LMAO,        <Channel name: kaicenat>,       2024-11-07 02:25:14.669697 

 suawtw,     2024Silky,        <Channel name: kaicenat>,       2024-11-07 02:25:51.502569 

 suawtw,     bronny?,        <Channel name: kaicenat>,       2024-11-07 02:26:12.629544 

 suawtw,     facts,        <Channel name: kaicenat>,       2024-11-07 02:26:43.508014 

 suawtw,     mhm,        <Channel name: kaicenat>,       2024-11-07 02:26:46.117072 

 suawtw,     na FACTS,        <Channel name: kaicenat>,       2024-11-07 02:27:00.699698 

 suawtw,     o,        <Channel name: kaicenat>,       2024-11-07 02:27:25.339618 

 suawtw,     facts,        <Channel name: kaicenat>,       2024-11-07 02:28:42.806686 

 suawtw,     where’s the clip?,        <Channel name: kaicenat>,       2024-11-07 02:31:29.023784 

 suawtw,     LMAO,        <Channel name: kaicenat>,       2024-11-07 02:34:12.588541 

 suawtw,     LMAOOOOOOOOO,        <Channel name: kaicenat>,       2024-11-07 02:34:22.282915 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:34:59.876037 

 suawtw,     LMAOOOO,        <Channel name: kaicenat>,       2024-11-07 02:35:04.480035 

 suawtw,     WW,        <Channel name: kaicenat>,       2024-11-07 02:37:26.420235 

 suawtw,     ironic,        <Channel name: kaicenat>,       2024-11-07 02:38:20.915106 

 suawtw,     DAMN,        <Channel name: kaicenat>,       2024-11-07 02:38:43.428698 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:39:31.071001 

 suawtw,     LMAO,        <Channel name: kaicenat>,       2024-11-07 02:39:34.316457 

 suawtw,     na he was dead waiting for marriage,        <Channel name: kaicenat>,       2024-11-07 02:40:14.258885 

 suawtw,     he dead was,        <Channel name: kaicenat>,       2024-11-07 02:40:21.504673 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:40:44.875168 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:41:41.970082 

 suawtw,     SYK BUT BACKWARDS,        <Channel name: kaicenat>,       2024-11-07 02:42:58.755097 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:45:53.800632 

 suawtw,     SpeedLaugh,        <Channel name: kaicenat>,       2024-11-07 02:46:30.217790 

 suawtw,     dtm,        <Channel name: kaicenat>,       2024-11-07 02:47:19.606664 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:47:29.654516 

 suawtw,     LMAOOOO,        <Channel name: kaicenat>,       2024-11-07 02:47:40.835053 

 suawtw,     for no reason,        <Channel name: kaicenat>,       2024-11-07 02:48:32.776116 

 suawtw,     zipn,        <Channel name: kaicenat>,       2024-11-07 02:48:36.124618 

 suawtw,     zion,        <Channel name: kaicenat>,       2024-11-07 02:48:41.549892 

 suawtw,     LMAOOO,        <Channel name: kaicenat>,       2024-11-07 02:48:59.478703 

 suawtw,     LMAO,        <Channel name: kaicenat>,       2024-11-07 02:49:17.654474 

 suawtw,     man,        <Channel name: kaicenat>,       2024-11-07 02:49:29.538972 

 suawtw,     American dream,        <Channel name: kaicenat>,       2024-11-07 02:50:21.669764 

 suawtw,     facts,        <Channel name: kaicenat>,       2024-11-07 02:53:02.264643 

 suawtw,     Facts,        <Channel name: kaicenat>,       2024-11-07 02:53:05.914515 
