
 atupoyooo,     miles look tired,        <Channel name: kaicenat>,       2024-11-07 10:54:48.256743 
 atupoyooo,     gift me please,        <Channel name: kaicenat>,       2024-11-07 11:16:43.794900 

 atupoyooo,     gift me please,        <Channel name: kaicenat>,       2024-11-07 11:17:15.113514 

 atupoyooo,     please gift meeee,        <Channel name: kaicenat>,       2024-11-07 11:17:31.407152 

 atupoyooo,     let’s help miles out yall,        <Channel name: kaicenat>,       2024-11-07 11:17:59.613154 

 atupoyooo,     help miles,        <Channel name: kaicenat>,       2024-11-07 11:18:03.406952 

 atupoyooo,     help miles out,        <Channel name: kaicenat>,       2024-11-07 11:18:14.678422 

 atupoyooo,     pls wake Kai uppppp,        <Channel name: kaicenat>,       2024-11-07 11:19:06.625501 

 atupoyooo,     please gift meeeeeeeee,        <Channel name: kaicenat>,       2024-11-07 11:19:19.765132 

 atupoyooo,     please gift yessssss,        <Channel name: kaicenat>,       2024-11-07 11:19:34.134745 

 atupoyooo,     grab Kai,        <Channel name: kaicenat>,       2024-11-07 11:20:21.660233 

 atupoyooo,     please gift meeeee,        <Channel name: kaicenat>,       2024-11-07 11:20:33.739870 

 atupoyooo,     please gift meeeeee,        <Channel name: kaicenat>,       2024-11-07 11:20:45.818020 

 atupoyooo,     free miles,        <Channel name: kaicenat>,       2024-11-07 11:24:56.800049 

 atupoyooo,     free miles yall,        <Channel name: kaicenat>,       2024-11-07 11:25:12.791515 

 atupoyooo,     wake upppppp,        <Channel name: kaicenat>,       2024-11-07 11:25:32.520213 

 atupoyooo,     wake upppppppppp,        <Channel name: kaicenat>,       2024-11-07 11:25:42.908088 

 atupoyooo,     gift me please,        <Channel name: kaicenat>,       2024-11-07 11:26:20.930616 

 atupoyooo,     giftttt meee,        <Channel name: kaicenat>,       2024-11-07 11:26:31.061125 

 atupoyooo,     please gift meeeeee,        <Channel name: kaicenat>,       2024-11-07 11:26:39.166860 

 atupoyooo,     wake upppp,        <Channel name: kaicenat>,       2024-11-07 11:27:22.419224 

 atupoyooo,     rakaaiiii,        <Channel name: kaicenat>,       2024-11-07 11:27:53.673319 

 atupoyooo,     loook at Kai,        <Channel name: kaicenat>,       2024-11-07 11:28:26.809095 

 atupoyooo,     kaiiiiiiiiiii,        <Channel name: kaicenat>,       2024-11-07 11:28:49.669312 

 atupoyooo,     because you need to wake up,        <Channel name: kaicenat>,       2024-11-07 11:29:34.825611 

 atupoyooo,     earthquake,        <Channel name: kaicenat>,       2024-11-07 11:34:00.738427 

 atupoyooo,     miles tired kaiii,        <Channel name: kaicenat>,       2024-11-07 11:48:21.789801 

 atupoyooo,     miles tired Kai,        <Channel name: kaicenat>,       2024-11-07 11:48:35.569951 

 atupoyooo,     I was here,        <Channel name: kaicenat>,       2024-11-07 13:34:07.088392 
