
 xbreezzey,     hey stinky butt,        <Channel name: swagg>,       2024-11-07 10:12:34.788979 
 xbreezzey,     subsonic pisses me off with the doors got lil jake spamming the doors giving me back shots on a streak,        <Channel name: swagg>,       2024-11-07 10:32:56.699577 

 xbreezzey,     nooo niya im bout to spawn home in like 15,        <Channel name: swagg>,       2024-11-07 10:34:53.022772 

 xbreezzey,     now carti,        <Channel name: swagg>,       2024-11-07 10:35:51.723643 

 xbreezzey,     just in carti titties cause a earthquake 10 injured in alaska,        <Channel name: swagg>,       2024-11-07 10:36:33.185344 

 xbreezzey,     myf swegSideEye,        <Channel name: swagg>,       2024-11-07 10:37:07.539060 

 xbreezzey,     @animekweenn shhhh swegSideEye,        <Channel name: swagg>,       2024-11-07 10:37:26.785550 

 xbreezzey,     yall need to lock in talkin bout dick veins nd shi,        <Channel name: swagg>,       2024-11-07 10:38:11.869571 

 xbreezzey,     u got windows @bigcartiier,        <Channel name: swagg>,       2024-11-07 10:38:59.219780 

 xbreezzey,     oop,        <Channel name: swagg>,       2024-11-07 10:39:29.944920 

 xbreezzey,     this shit ASS,        <Channel name: swagg>,       2024-11-07 10:40:31.795860 

 xbreezzey,     bro basically just said fuck everyone else but the mods,        <Channel name: swagg>,       2024-11-07 10:41:08.639497 

 xbreezzey,     @animekweenn he hit u with the morning not even a good morning that’s cooked,        <Channel name: swagg>,       2024-11-07 10:42:03.337056 

 xbreezzey,     brb driving homee,        <Channel name: swagg>,       2024-11-07 10:42:47.180363 

 xbreezzey,     he diggin in me,        <Channel name: swagg>,       2024-11-07 11:03:22.899239 

 xbreezzey,     even tho Gabe not dropping harps,        <Channel name: swagg>,       2024-11-07 11:05:41.545850 

 xbreezzey,     36 is the counter,        <Channel name: swagg>,       2024-11-07 11:10:41.273133 

 xbreezzey,     cap my weewee shrank when i prestiged,        <Channel name: swagg>,       2024-11-07 11:17:21.663270 

 xbreezzey,     unc finally awake,        <Channel name: swagg>,       2024-11-07 11:20:23.945473 

 xbreezzey,     ??? did bro just sniff the air out,        <Channel name: swagg>,       2024-11-07 11:20:56.512483 

 xbreezzey,     @swagg morning swagg,        <Channel name: swagg>,       2024-11-07 11:21:07.959572 

 xbreezzey,     got spicy ramen im activated,        <Channel name: swagg>,       2024-11-07 11:22:07.104560 

 xbreezzey,     @chitgamin just dont cheat,        <Channel name: swagg>,       2024-11-07 11:22:30.944354 

 xbreezzey,     they gave dante the sauce to spam.. gg,        <Channel name: swagg>,       2024-11-07 11:23:54.162221 

 xbreezzey,     damn… u old asf,        <Channel name: swagg>,       2024-11-07 11:24:24.081191 

 xbreezzey,     was u dropping nukes in the campaign tho?,        <Channel name: swagg>,       2024-11-07 11:24:48.058576 

 xbreezzey,     @shaungordon3 nah i don’t go to lacy ngl,        <Channel name: swagg>,       2024-11-07 11:25:43.176343 

 xbreezzey,     all goody ya he just doesn’t do it for me ngl @shaungordon3,        <Channel name: swagg>,       2024-11-07 11:26:46.318473 

 xbreezzey,     @noofxce_ he don’t like multi,        <Channel name: swagg>,       2024-11-07 11:37:56.058815 

 xbreezzey,     got my 1$ ramen for lunch that’s all my pockets could afford,        <Channel name: swagg>,       2024-11-07 11:43:40.233483 

 xbreezzey,     @xLegend_Streams niya be trollin me </3 u got me for lunch tomorrow?,        <Channel name: swagg>,       2024-11-07 11:44:43.042777 

 xbreezzey,     did u make the change pookie @janiyamhh,        <Channel name: swagg>,       2024-11-07 11:47:53.730288 

 xbreezzey,     @janiyamhh should i do lowercase or go big?,        <Channel name: swagg>,       2024-11-07 11:48:53.830567 

 xbreezzey,     @janiyamhh yes maam,        <Channel name: swagg>,       2024-11-07 11:50:17.396130 

 xbreezzey,     lmaoaooa,        <Channel name: swagg>,       2024-11-07 11:52:01.051746 

 xbreezzey,     @janiyamhh he gonna ask what ur clan tag means if u spawn in LMAO,        <Channel name: swagg>,       2024-11-07 11:53:08.271959 

 xbreezzey,     aint that our ball ?,        <Channel name: swagg>,       2024-11-07 11:55:06.312127 

 xbreezzey,     SHE DIGGING ME,        <Channel name: swagg>,       2024-11-07 11:55:22.456636 

 xbreezzey,     bronny would be 1/1 if u dropped the nuke but here we are affecting the legacy,        <Channel name: swagg>,       2024-11-07 11:58:16.624718 

 xbreezzey,     where all the dudes at?,        <Channel name: swagg>,       2024-11-07 11:59:51.892268 

 xbreezzey,     where da DOODS,        <Channel name: swagg>,       2024-11-07 12:00:22.832426 

 xbreezzey,     wait dante... did u eat the trashcan donut?,        <Channel name: swagg>,       2024-11-07 12:00:50.309843 

 xbreezzey,     @adimonto shi idk what the vibes are rn,        <Channel name: swagg>,       2024-11-07 12:01:59.781520 

 xbreezzey,     @Sweatinnn stg cause rumor has it someone ate a donut out the trashcan gotta figure out who it was,        <Channel name: swagg>,       2024-11-07 12:02:30.870025 

 xbreezzey,     ............,        <Channel name: swagg>,       2024-11-07 12:03:18.138575 

 xbreezzey,     swag u have me so down bad i had ice soup last night and 1$ ramen today... spare me for the day?,        <Channel name: swagg>,       2024-11-07 12:04:40.507092 

 xbreezzey,     lmaoao,        <Channel name: swagg>,       2024-11-07 12:05:22.634103 

 xbreezzey,     @xLegend_Streams ong imma have to charge for the harps,        <Channel name: swagg>,       2024-11-07 12:05:49.264556 

 xbreezzey,     w clan tag niya pookie,        <Channel name: swagg>,       2024-11-07 12:06:52.408642 

 xbreezzey,     am i spawning in niya,        <Channel name: swagg>,       2024-11-07 12:08:09.945253 

 xbreezzey,     @janiyamhh locked pookie invite,        <Channel name: swagg>,       2024-11-07 12:08:56.263708 

 xbreezzey,     imma restart app ill join after pook,        <Channel name: swagg>,       2024-11-07 12:09:54.887738 

 xbreezzey,     damn everyone a goonr clan tag now what did we start,        <Channel name: swagg>,       2024-11-07 12:12:43.286675 

 xbreezzey,     @adimonto i had it back in mw3 but changed it when was spawning in for harps but its back,        <Channel name: swagg>,       2024-11-07 12:14:00.074140 

 xbreezzey,     LMAOAO,        <Channel name: swagg>,       2024-11-07 12:15:45.011625 

 xbreezzey,     wick gift 5 for me,        <Channel name: swagg>,       2024-11-07 12:15:59.360733 

 xbreezzey,     i drop harps for swag every match and he still charges me,        <Channel name: swagg>,       2024-11-07 12:16:18.655929 

 xbreezzey,     ask dante about the 29 streak,        <Channel name: swagg>,       2024-11-07 12:16:51.246539 

 xbreezzey,     sweatin my shoooota,        <Channel name: swagg>,       2024-11-07 12:17:52.889758 

 xbreezzey,     everyday to drop SWAG HARPS,        <Channel name: swagg>,       2024-11-07 12:18:10.795961 

 xbreezzey,     thank u sweatin widetime5,        <Channel name: swagg>,       2024-11-07 12:19:33.006130 

 xbreezzey,     u should ask dante about his 29 streak,        <Channel name: swagg>,       2024-11-07 12:21:42.236963 

 xbreezzey,     lmaoo,        <Channel name: swagg>,       2024-11-07 12:22:41.987805 

 xbreezzey,     wicks tab,        <Channel name: swagg>,       2024-11-07 12:22:57.722487 

 xbreezzey,     see if u can inv niya i restarted app,        <Channel name: swagg>,       2024-11-07 12:24:43.104538 

 xbreezzey,     we in cord wit it niya?,        <Channel name: swagg>,       2024-11-07 12:25:50.972842 

 xbreezzey,     THE BIG GOONRS ARE HERE,        <Channel name: swagg>,       2024-11-07 12:26:02.600772 

 xbreezzey,     thought it was 6k...,        <Channel name: swagg>,       2024-11-07 12:27:08.647351 

 xbreezzey,     lmaooo,        <Channel name: swagg>,       2024-11-07 12:27:30.542421 

 xbreezzey,     sensitive insides?,        <Channel name: swagg>,       2024-11-07 12:28:22.554773 

 xbreezzey,     how sensitive is sensitive for ur insides?,        <Channel name: swagg>,       2024-11-07 12:29:11.093790 

 xbreezzey,     @steezytheshooter go back to work stinky butt,        <Channel name: swagg>,       2024-11-07 12:57:36.694252 

 xbreezzey,     @Sweatinnn bros 4/4,        <Channel name: swagg>,       2024-11-07 13:01:41.413978 
