
 the_king_of_typos,     Same,        <Channel name: megalodonvt>,       2024-11-07 09:53:37.419875 
 the_king_of_typos,     Fent,        <Channel name: megalodonvt>,       2024-11-07 10:52:55.937963 

 the_king_of_typos,     Bent,        <Channel name: megalodonvt>,       2024-11-07 10:52:59.680377 

 the_king_of_typos,     Feet,        <Channel name: megalodonvt>,       2024-11-07 10:53:24.122224 

 the_king_of_typos,     Neet,        <Channel name: megalodonvt>,       2024-11-07 10:53:34.290601 

 the_king_of_typos,     Nine,        <Channel name: megalodonvt>,       2024-11-07 10:54:21.589845 

 the_king_of_typos,     Pent,        <Channel name: megalodonvt>,       2024-11-07 10:55:40.081256 

 the_king_of_typos,     Cent,        <Channel name: megalodonvt>,       2024-11-07 10:55:49.691561 

 the_king_of_typos,     Tent,        <Channel name: megalodonvt>,       2024-11-07 10:55:59.993968 

 the_king_of_typos,     Cern,        <Channel name: megalodonvt>,       2024-11-07 10:57:05.774911 

 the_king_of_typos,     Return,        <Channel name: megalodonvt>,       2024-11-07 10:57:19.765945 

 the_king_of_typos,     Necter,        <Channel name: megalodonvt>,       2024-11-07 10:57:38.565480 

 the_king_of_typos,     Fester,        <Channel name: megalodonvt>,       2024-11-07 10:58:38.237872 

 the_king_of_typos,     Muse,        <Channel name: megalodonvt>,       2024-11-07 10:58:51.524812 

 the_king_of_typos,     Nose,        <Channel name: megalodonvt>,       2024-11-07 10:59:34.415580 

 the_king_of_typos,     Secur,        <Channel name: megalodonvt>,       2024-11-07 11:00:19.071488 

 the_king_of_typos,     Pillar,        <Channel name: megalodonvt>,       2024-11-07 11:01:41.591940 

 the_king_of_typos,     Frill,        <Channel name: megalodonvt>,       2024-11-07 11:01:59.073157 

 the_king_of_typos,     Flip,        <Channel name: megalodonvt>,       2024-11-07 11:02:23.961568 

 the_king_of_typos,     Coil,        <Channel name: megalodonvt>,       2024-11-07 11:02:34.371328 

 the_king_of_typos,     Goil,        <Channel name: megalodonvt>,       2024-11-07 11:02:49.608428 

 the_king_of_typos,     Slice,        <Channel name: megalodonvt>,       2024-11-07 11:04:45.866614 

 the_king_of_typos,     Lich,        <Channel name: megalodonvt>,       2024-11-07 11:06:03.617956 

 the_king_of_typos,     Ices,        <Channel name: megalodonvt>,       2024-11-07 11:06:31.954438 

 the_king_of_typos,     Dare,        <Channel name: megalodonvt>,       2024-11-07 11:08:44.345992 

 the_king_of_typos,     Pare,        <Channel name: megalodonvt>,       2024-11-07 11:09:10.173047 

 the_king_of_typos,     Dear,        <Channel name: megalodonvt>,       2024-11-07 11:09:32.904182 

 the_king_of_typos,     Reaper,        <Channel name: megalodonvt>,       2024-11-07 11:10:02.193770 

 the_king_of_typos,     Edar,        <Channel name: megalodonvt>,       2024-11-07 11:11:13.934390 

 the_king_of_typos,     Daper,        <Channel name: megalodonvt>,       2024-11-07 11:11:41.746345 

 the_king_of_typos,     Dale,        <Channel name: megalodonvt>,       2024-11-07 11:12:54.424932 

 the_king_of_typos,     Ladder,        <Channel name: megalodonvt>,       2024-11-07 11:13:06.850289 

 the_king_of_typos,     Land,        <Channel name: megalodonvt>,       2024-11-07 11:13:13.797518 

 the_king_of_typos,     Gala,        <Channel name: megalodonvt>,       2024-11-07 11:13:48.503005 

 the_king_of_typos,     Naga,        <Channel name: megalodonvt>,       2024-11-07 11:14:02.780892 

 the_king_of_typos,     Lard,        <Channel name: megalodonvt>,       2024-11-07 11:14:24.500385 

 the_king_of_typos,     Rang,        <Channel name: megalodonvt>,       2024-11-07 11:14:45.106262 

 the_king_of_typos,     Gand,        <Channel name: megalodonvt>,       2024-11-07 11:14:57.785649 

 the_king_of_typos,     Gander,        <Channel name: megalodonvt>,       2024-11-07 11:15:08.659730 

 the_king_of_typos,     Maze,        <Channel name: megalodonvt>,       2024-11-07 11:16:09.455243 

 the_king_of_typos,     Daze,        <Channel name: megalodonvt>,       2024-11-07 11:16:31.276586 

 the_king_of_typos,     Bean,        <Channel name: megalodonvt>,       2024-11-07 11:16:41.242045 

 the_king_of_typos,     Benz,        <Channel name: megalodonvt>,       2024-11-07 11:16:56.545064 

 the_king_of_typos,     Rare,        <Channel name: megalodonvt>,       2024-11-07 11:17:04.138499 

 the_king_of_typos,     Love,        <Channel name: megalodonvt>,       2024-11-07 11:17:47.808107 

 the_king_of_typos,     Dove,        <Channel name: megalodonvt>,       2024-11-07 11:17:54.458799 

 the_king_of_typos,     Role,        <Channel name: megalodonvt>,       2024-11-07 11:18:06.522497 

 the_king_of_typos,     Rool,        <Channel name: megalodonvt>,       2024-11-07 11:18:18.802708 

 the_king_of_typos,     Oven,        <Channel name: megalodonvt>,       2024-11-07 11:18:39.358053 

 the_king_of_typos,     Rev,        <Channel name: megalodonvt>,       2024-11-07 11:18:59.616762 

 the_king_of_typos,     Vell,        <Channel name: megalodonvt>,       2024-11-07 11:19:10.587503 

 the_king_of_typos,     Pancake,        <Channel name: megalodonvt>,       2024-11-07 11:20:13.182688 

 the_king_of_typos,     Panic,        <Channel name: megalodonvt>,       2024-11-07 11:20:20.347364 

 the_king_of_typos,     Open,        <Channel name: megalodonvt>,       2024-11-07 11:20:27.110041 

 the_king_of_typos,     Sona,        <Channel name: megalodonvt>,       2024-11-07 11:20:51.116159 

 the_king_of_typos,     Naps,        <Channel name: megalodonvt>,       2024-11-07 11:21:10.145031 

 the_king_of_typos,     Shop,        <Channel name: megalodonvt>,       2024-11-07 11:21:46.207286 

 the_king_of_typos,     Chaos,        <Channel name: megalodonvt>,       2024-11-07 11:22:01.574743 

 the_king_of_typos,     Fued,        <Channel name: megalodonvt>,       2024-11-07 11:22:39.293734 

 the_king_of_typos,     Fuel,        <Channel name: megalodonvt>,       2024-11-07 11:22:47.816004 

 the_king_of_typos,     Fual,        <Channel name: megalodonvt>,       2024-11-07 11:22:56.399963 

 the_king_of_typos,     F is fake,        <Channel name: megalodonvt>,       2024-11-07 11:23:15.973401 

 the_king_of_typos,     Fall,        <Channel name: megalodonvt>,       2024-11-07 11:23:25.418753 

 the_king_of_typos,     Land,        <Channel name: megalodonvt>,       2024-11-07 11:23:44.425212 

 the_king_of_typos,     Band,        <Channel name: megalodonvt>,       2024-11-07 11:23:53.775889 

 the_king_of_typos,     Ggs,        <Channel name: megalodonvt>,       2024-11-07 11:24:28.249448 

 the_king_of_typos,     Nickel,        <Channel name: megalodonvt>,       2024-11-07 11:25:26.344798 

 the_king_of_typos,     Peek,        <Channel name: megalodonvt>,       2024-11-07 11:25:44.305360 

 the_king_of_typos,     Keep,        <Channel name: megalodonvt>,       2024-11-07 11:25:50.896357 

 the_king_of_typos,     Peel,        <Channel name: megalodonvt>,       2024-11-07 11:25:56.201641 

 the_king_of_typos,     Ping,        <Channel name: megalodonvt>,       2024-11-07 11:26:07.024387 

 the_king_of_typos,     Nein,        <Channel name: megalodonvt>,       2024-11-07 11:26:14.058432 

 the_king_of_typos,     Pink,        <Channel name: megalodonvt>,       2024-11-07 11:26:39.454140 

 the_king_of_typos,     Nike,        <Channel name: megalodonvt>,       2024-11-07 11:27:27.108500 

 the_king_of_typos,     Diced,        <Channel name: megalodonvt>,       2024-11-07 11:28:18.464557 

 the_king_of_typos,     Died,        <Channel name: megalodonvt>,       2024-11-07 11:28:30.023082 

 the_king_of_typos,     Cidded,        <Channel name: megalodonvt>,       2024-11-07 11:29:38.781048 

 the_king_of_typos,     Dede,        <Channel name: megalodonvt>,       2024-11-07 11:30:43.812361 

 the_king_of_typos,     Dime,        <Channel name: megalodonvt>,       2024-11-07 11:32:30.691865 

 the_king_of_typos,     Dagger,        <Channel name: megalodonvt>,       2024-11-07 11:32:48.860876 

 the_king_of_typos,     GGram,        <Channel name: megalodonvt>,       2024-11-07 11:33:16.903481 

 the_king_of_typos,     Gram,        <Channel name: megalodonvt>,       2024-11-07 11:33:23.185249 

 the_king_of_typos,     Amar,        <Channel name: megalodonvt>,       2024-11-07 11:33:45.278581 

 the_king_of_typos,     Port,        <Channel name: megalodonvt>,       2024-11-07 11:36:02.090153 

 the_king_of_typos,     Corp,        <Channel name: megalodonvt>,       2024-11-07 11:36:15.912481 

 the_king_of_typos,     Rolo,        <Channel name: megalodonvt>,       2024-11-07 11:37:13.924262 

 the_king_of_typos,     Toco,        <Channel name: megalodonvt>,       2024-11-07 11:37:30.511335 

 the_king_of_typos,     Coffee,        <Channel name: megalodonvt>,       2024-11-07 11:38:22.086109 

 the_king_of_typos,     Fake Q,        <Channel name: megalodonvt>,       2024-11-07 11:41:43.676684 

 the_king_of_typos,     Oled,        <Channel name: megalodonvt>,       2024-11-07 11:42:57.013000 

 the_king_of_typos,     Cute,        <Channel name: megalodonvt>,       2024-11-07 11:44:17.014226 

 the_king_of_typos,     Quiz,        <Channel name: megalodonvt>,       2024-11-07 11:44:31.166429 

 the_king_of_typos,     Meal,        <Channel name: megalodonvt>,       2024-11-07 11:45:10.514020 

 the_king_of_typos,     Tule,        <Channel name: megalodonvt>,       2024-11-07 11:45:31.000352 

 the_king_of_typos,     Eager,        <Channel name: megalodonvt>,       2024-11-07 11:46:48.218102 

 the_king_of_typos,     Leer,        <Channel name: megalodonvt>,       2024-11-07 11:47:03.931734 

 the_king_of_typos,     Gabriel,        <Channel name: megalodonvt>,       2024-11-07 11:47:37.842309 

 the_king_of_typos,     Recead,        <Channel name: megalodonvt>,       2024-11-07 11:48:00.922865 

 the_king_of_typos,     Carer,        <Channel name: megalodonvt>,       2024-11-07 11:48:51.917636 
