
 charlieutd__,     Someone come and sleep with me I've been awake for longer than 2 hours today,        <Channel name: mongraal>,       2024-11-07 09:01:15.870123 
 charlieutd__,     What's your goal for chapter 6,        <Channel name: mongraal>,       2024-11-07 09:52:31.228522 

 charlieutd__,     !1,        <Channel name: mongraal>,       2024-11-07 09:53:15.447019 

 charlieutd__,     !Commands,        <Channel name: mongraal>,       2024-11-07 09:53:39.610856 

 charlieutd__,     Snap,        <Channel name: mongraal>,       2024-11-07 09:56:03.403234 

 charlieutd__,     ac,        <Channel name: mongraal>,       2024-11-07 09:57:00.998443 

 charlieutd__,     Ac,        <Channel name: mongraal>,       2024-11-07 09:57:04.649608 

 charlieutd__,     Ec,        <Channel name: mongraal>,       2024-11-07 09:57:09.014912 

 charlieutd__,     Dc,        <Channel name: mongraal>,       2024-11-07 09:57:12.209533 

 charlieutd__,     dc,        <Channel name: mongraal>,       2024-11-07 09:57:16.434298 

 charlieutd__,     WHAT,        <Channel name: mongraal>,       2024-11-07 09:57:36.606512 

 charlieutd__,     Where do you see yourself in 5 years? Do you consider fortnite as a full time career? If you retire from fortnite (again) will you aim to get any other jobs?,        <Channel name: mongraal>,       2024-11-07 09:59:26.275580 

 charlieutd__,     Frog,        <Channel name: mongraal>,       2024-11-07 10:00:38.990143 

 charlieutd__,     If someone banned me from chat I would poop all day,        <Channel name: mongraal>,       2024-11-07 10:01:32.160868 

 charlieutd__,     THAT DOESNT MEAN YOU CAN BAN ME,        <Channel name: mongraal>,       2024-11-07 10:01:48.435688 

 charlieutd__,     !.,        <Channel name: mongraal>,       2024-11-07 10:02:01.388822 

 charlieutd__,     test,        <Channel name: mongraal>,       2024-11-07 10:02:09.604116 

 charlieutd__,     Ben,        <Channel name: mongraal>,       2024-11-07 10:02:32.636162 

 charlieutd__,     !Wipe,        <Channel name: mongraal>,       2024-11-07 10:03:00.224179 

 charlieutd__,     Do you think I could go pro in fortnite I have 2k earned at 4,        <Channel name: mongraal>,       2024-11-07 10:03:59.585359 

 charlieutd__,     !Monitor,        <Channel name: mongraal>,       2024-11-07 10:04:34.510173 

 charlieutd__,     !pc,        <Channel name: mongraal>,       2024-11-07 10:04:42.349618 

 charlieutd__,     !keyboard,        <Channel name: mongraal>,       2024-11-07 10:04:48.404169 

 charlieutd__,     !mouse,        <Channel name: mongraal>,       2024-11-07 10:04:53.173047 

 charlieutd__,     @nightbot STOP IGNORING ME,        <Channel name: mongraal>,       2024-11-07 10:05:11.734661 

 charlieutd__,     Mods ban nightbot right now he's a meanie,        <Channel name: mongraal>,       2024-11-07 10:05:41.030051 

 charlieutd__,     test,        <Channel name: mongraal>,       2024-11-07 10:06:21.307167 

 charlieutd__,     YAY NIGHTBOT I LOVE YOU,        <Channel name: mongraal>,       2024-11-07 10:06:32.151307 

 charlieutd__,     Hey nightbot wanna come round later and hop in my bed ;),        <Channel name: mongraal>,       2024-11-07 10:07:43.826058 

 charlieutd__,     Hehe me and nightbot are gonna do something fun,        <Channel name: mongraal>,       2024-11-07 10:08:24.460819 

 charlieutd__,     SCRABBLE,        <Channel name: mongraal>,       2024-11-07 10:08:33.267659 

 charlieutd__,     YUP ME AND NIGHTBOT WILL BE PLAYING SCRABBLE IN MY BED,        <Channel name: mongraal>,       2024-11-07 10:08:56.493160 

 charlieutd__,     Why do you go to the gym at night and not morning,        <Channel name: mongraal>,       2024-11-07 10:10:37.514211 

 charlieutd__,     Just make normal food,        <Channel name: mongraal>,       2024-11-07 10:11:26.015912 

 charlieutd__,     @lloydz if mongraal got an icon skin do you think he would tell you,        <Channel name: mongraal>,       2024-11-07 10:14:32.131799 

 charlieutd__,     I love edit on release,        <Channel name: mongraal>,       2024-11-07 10:15:48.520426 

 charlieutd__,     !trio,        <Channel name: mongraal>,       2024-11-07 10:16:44.438818 

 charlieutd__,     Do you think you will play with twi next week,        <Channel name: mongraal>,       2024-11-07 10:17:19.793521 

 charlieutd__,     It ends at about 11AM on the Saturday,        <Channel name: mongraal>,       2024-11-07 10:20:41.872754 

 charlieutd__,     How do you prevent so many streamsnipers,        <Channel name: mongraal>,       2024-11-07 10:22:57.788665 

 charlieutd__,     !Benjyfishy,        <Channel name: mongraal>,       2024-11-07 10:24:29.523085 

 charlieutd__,     !Tayson,        <Channel name: mongraal>,       2024-11-07 10:24:39.582800 

 charlieutd__,     TEST,        <Channel name: mongraal>,       2024-11-07 10:24:59.180314 

 charlieutd__,     I wanna be like nightbot,        <Channel name: mongraal>,       2024-11-07 10:25:22.732592 

 charlieutd__,     NOOOOOOOOOOOO,        <Channel name: mongraal>,       2024-11-07 10:26:17.721514 

 charlieutd__,     ME SAAADDDDDD NOW mongaCry mongaCry mongaCry mongaCry mongaCry,        <Channel name: mongraal>,       2024-11-07 10:26:45.116781 

 charlieutd__,     @lloydz no it isn't,        <Channel name: mongraal>,       2024-11-07 10:27:07.697126 

 charlieutd__,     How much monthly do you get from twitch,        <Channel name: mongraal>,       2024-11-07 10:27:56.062173 

 charlieutd__,     Is anyone else here going to the utd game against paok,        <Channel name: mongraal>,       2024-11-07 10:30:28.893173 

 charlieutd__,     mongaFlex1 DoritosChip mongaFlex3,        <Channel name: mongraal>,       2024-11-07 10:32:55.738106 

 charlieutd__,     Imagine a dorito had arms,        <Channel name: mongraal>,       2024-11-07 10:33:23.407544 

 charlieutd__,     Bro qualified for the first proper trio cc W,        <Channel name: mongraal>,       2024-11-07 10:35:25.430152 

 charlieutd__,     You should try and be in a movie one day,        <Channel name: mongraal>,       2024-11-07 10:37:14.250425 

 charlieutd__,     You seem like a good. Actor,        <Channel name: mongraal>,       2024-11-07 10:37:29.917310 

 charlieutd__,     That looks so stressful I hate aim training,        <Channel name: mongraal>,       2024-11-07 10:38:32.445422 

 charlieutd__,     PLEASE I CANT WATCH THIS,        <Channel name: mongraal>,       2024-11-07 10:38:57.878418 

 charlieutd__,     BUT I NEED MORE CHANNEL POINTS,        <Channel name: mongraal>,       2024-11-07 10:39:11.244861 

 charlieutd__,     They have,        <Channel name: mongraal>,       2024-11-07 10:40:06.496569 

 charlieutd__,     ^^,        <Channel name: mongraal>,       2024-11-07 10:41:06.798240 

 charlieutd__,     ^,        <Channel name: mongraal>,       2024-11-07 10:41:14.633165 

 charlieutd__,     I CANT DO THIS SMILEY FACE,        <Channel name: mongraal>,       2024-11-07 10:43:45.376938 

 charlieutd__,     HOW DO I DO IT,        <Channel name: mongraal>,       2024-11-07 10:44:23.570818 

 charlieutd__,     NOPE I QUIT I CANT DO A SMILEY FACE,        <Channel name: mongraal>,       2024-11-07 10:45:14.359983 

 charlieutd__,     :) ITS GOOD ENOUGH,        <Channel name: mongraal>,       2024-11-07 10:45:44.775117 

 charlieutd__,     @izzytjes turn your volume up,        <Channel name: mongraal>,       2024-11-07 10:46:03.426195 

 charlieutd__,     @daniel7nrk fortnite it's free,        <Channel name: mongraal>,       2024-11-07 10:47:04.304651 

 charlieutd__,     @daniel7nrk Kovaaks,        <Channel name: mongraal>,       2024-11-07 10:47:42.635108 

 charlieutd__,     @alex_32014 kovaaks,        <Channel name: mongraal>,       2024-11-07 10:48:56.358061 

 charlieutd__,     IM GONNA LEAK IT,        <Channel name: mongraal>,       2024-11-07 10:49:47.156128 

 charlieutd__,     Lol 1 of you probably saw that and thought what,        <Channel name: mongraal>,       2024-11-07 10:50:15.998731 

 charlieutd__,     @nightbot ARE YOU CHEATING ON ME,        <Channel name: mongraal>,       2024-11-07 10:50:41.211568 

 charlieutd__,     @bertieisgoated no,        <Channel name: mongraal>,       2024-11-07 10:50:56.957623 

 charlieutd__,     Too slow speed it up,        <Channel name: mongraal>,       2024-11-07 10:52:04.177273 

 charlieutd__,     @flickzy2fast TELL ME,        <Channel name: mongraal>,       2024-11-07 10:52:28.513537 
