
 futureretrofare,     ahahahahaha,        <Channel name: nadeshot>,       2024-11-07 09:36:58.296393 
 futureretrofare,     I just realize 711 opens the liquor cabinets earliers,        <Channel name: nadeshot>,       2024-11-07 10:24:04.146621 

 futureretrofare,     might be able to get liquor way earliers\,        <Channel name: nadeshot>,       2024-11-07 10:24:27.627508 

 futureretrofare,     nade ain't a grown man he never graduated from mcdonalds,        <Channel name: nadeshot>,       2024-11-07 10:25:15.629897 

 futureretrofare,     Kappa,        <Channel name: nadeshot>,       2024-11-07 10:25:18.519005 

 futureretrofare,     Literally crazy to think this dudes only job was mcdonalds,        <Channel name: nadeshot>,       2024-11-07 10:26:12.198799 

 futureretrofare,     wow what a noob still sleeping I'm gonna go get some more liquor, prff I've been drinking for 3 days and this noob is sleeping what noob.  BTW I taught nade and scump everything they know,        <Channel name: nadeshot>,       2024-11-07 10:52:52.353825 

 futureretrofare,     You heare that @Nadeshot I taught you everything you know mister nooby head Kappa,        <Channel name: nadeshot>,       2024-11-07 10:54:18.238092 

 futureretrofare,     Funny story liquor store owner got mad cause I asked him by biden had the audacity to make a statement,        <Channel name: nadeshot>,       2024-11-07 12:03:59.923307 

 futureretrofare,     wtf,        <Channel name: nadeshot>,       2024-11-07 12:04:50.256900 

 futureretrofare,     no one cares about shitnite,        <Channel name: nadeshot>,       2024-11-07 12:06:23.955082 

 futureretrofare,     screw shit nite,        <Channel name: nadeshot>,       2024-11-07 12:06:36.843360 

 futureretrofare,     quit procrastonating Nade,        <Channel name: nadeshot>,       2024-11-07 12:07:03.863557 

 futureretrofare,     show the sleep walking,        <Channel name: nadeshot>,       2024-11-07 12:07:27.083100 

 futureretrofare,     Kappa,        <Channel name: nadeshot>,       2024-11-07 12:07:47.892220 

 futureretrofare,     LOL,        <Channel name: nadeshot>,       2024-11-07 12:08:06.848207 

 futureretrofare,     Who even gets up like that,        <Channel name: nadeshot>,       2024-11-07 12:08:25.310893 

 futureretrofare,     Nade woke up and realized the subathon isn't over Kappa @Nadeshot,        <Channel name: nadeshot>,       2024-11-07 12:09:13.898231 

 futureretrofare,     I knew he was having nightmares about not being able to wake up from the subathon,        <Channel name: nadeshot>,       2024-11-07 12:10:20.057836 
